order_id,task_id,process,step_code,step_label,robot_id,target_point,start_time,end_time,duration,level
B001,T0010,module_install,module_pick,R3 抓取控制模块本体,R3,R3_MODULE_PICK_TCP,81.0,83.52,2.52,5
B001,T0010,module_install,module_align,R3 对准控制模块安装位置,R3,R3_MODULE_PLACE_APP,83.52,85.68,2.16,5
B001,T0010,module_install,module_place,R3 安装控制模块本体,R3,R3_MODULE_PLACE_TCP,85.68,88.92,3.24,5
B001,T0010,module_install,module_label_check,确认控制模块标签方向,R3,R3_MODULE_PLACE_TCP,88.92,90.0,1.08,5
A001,T0003,module_install,module_pick,R3 抓取控制模块本体,R3,R3_MODULE_PICK_TCP,90.0,91.96,1.96,5
A001,T0003,module_install,module_align,R3 对准控制模块安装位置,R3,R3_MODULE_PLACE_APP,91.96,93.64,1.68,5
A001,T0003,module_install,module_place,R3 安装控制模块本体,R3,R3_MODULE_PLACE_TCP,93.64,96.16,2.52,5
A001,T0003,module_install,module_label_check,确认控制模块标签方向,R3,R3_MODULE_PLACE_TCP,96.16,97.0,0.84,5
C_URGENT,T0022,sort_good,good_pick,R5 从检测平台抓取合格品,R5,R5_PRODUCT_PICK_TCP,93.0,95.25,2.25,12
C_URGENT,T0022,sort_good,good_place,R5 放置到合格品传送带,R5,R5_GOOD_PLACE_TCP,95.25,98.0,2.75,12
A001,T0004,terminal_install,terminal_pick,R1 抓取端子排本体,R1,R1_TERMINAL_PICK_TCP,97.0,98.96,1.96,8
A001,T0004,terminal_install,terminal_align,R1 对准端子排安装位置,R1,R1_TERMINAL_PLACE_APP,98.96,100.64,1.68,8
A001,T0004,terminal_install,terminal_place,R1 安装端子排本体,R1,R1_TERMINAL_PLACE_TCP,100.64,103.16,2.52,8
A001,T0004,terminal_install,terminal_slot_check,确认端子排接线槽朝向,R1,R1_TERMINAL_PLACE_TCP,103.16,104.0,0.84,8
B001,T0011,terminal_install,terminal_pick,R1 抓取端子排本体,R1,R1_TERMINAL_PICK_TCP,104.0,106.24,2.24,8
B001,T0011,terminal_install,terminal_align,R1 对准端子排安装位置,R1,R1_TERMINAL_PLACE_APP,106.24,108.16,1.92,8
B001,T0011,terminal_install,terminal_place,R1 安装端子排本体,R1,R1_TERMINAL_PLACE_TCP,108.16,111.04,2.88,8
B001,T0011,terminal_install,terminal_slot_check,确认端子排接线槽朝向,R1,R1_TERMINAL_PLACE_TCP,111.04,112.0,0.96,8
A001,T0005,transfer_to_inspection,product_pick,R3 从装配夹具抓取完整装配体,R3,R3_PRODUCT_PICK_TCP,112.0,114.8,2.8,9
A001,T0005,transfer_to_inspection,product_transfer,R3 转移到检测平台,R3,R3_PRODUCT_PLACE_INSPECTION_APP,114.8,117.6,2.8,9
A001,T0005,transfer_to_inspection,product_place,R3 放置完整装配体,R3,R3_PRODUCT_PLACE_INSPECTION_TCP,117.6,120.0,2.4,9
A001,T0006,inspect,camera_position,固定相机定位检测区域,CAMERA,CAMERA_INSPECTION_CENTER,120.0,121.25,1.25,10
A001,T0006,inspect,camera_detect,相机检测并输出 OK/NG,CAMERA,CAMERA_INSPECTION_CENTER,121.25,125.0,3.75,10
B001,T0012,transfer_to_inspection,product_pick,R3 从装配夹具抓取完整装配体,R3,R3_PRODUCT_PICK_TCP,125.0,128.15,3.15,9
B001,T0012,transfer_to_inspection,product_transfer,R3 转移到检测平台,R3,R3_PRODUCT_PLACE_INSPECTION_APP,128.15,131.3,3.15,9
B001,T0012,transfer_to_inspection,product_place,R3 放置完整装配体,R3,R3_PRODUCT_PLACE_INSPECTION_TCP,131.3,134.0,2.7,9
A001,T0007,screw,screw_app,R4 到达螺钉接近点,R4,R4_SCREW_APP,134.0,136.25,2.25,11
A001,T0007,screw,screw_touch,R4 接触端子排主螺钉头,R4,R4_SCREW_TCP,136.25,138.5,2.25,11
A001,T0007,screw,screw_press,R4 下压并完成锁付,R4,R4_SCREW_PRESS,138.5,143.0,4.5,11
B001,T0013,inspect,camera_position,固定相机定位检测区域,CAMERA,CAMERA_INSPECTION_CENTER,143.0,144.5,1.5,10
B001,T0013,inspect,camera_detect,相机检测并输出 OK/NG,CAMERA,CAMERA_INSPECTION_CENTER,144.5,149.0,4.5,10
B001,T0014,screw,screw_app,R4 到达螺钉接近点,R4,R4_SCREW_APP,149.0,151.75,2.75,11
B001,T0014,screw,screw_touch,R4 接触端子排主螺钉头,R4,R4_SCREW_TCP,151.75,154.5,2.75,11
B001,T0014,screw,screw_press,R4 下压并完成锁付,R4,R4_SCREW_PRESS,154.5,160.0,5.5,11
A001,T0023,sort_defect,defect_pick,R5 从检测平台抓取缺陷品,R5,R5_PRODUCT_PICK_TCP,160.0,162.25,2.25,12
A001,T0023,sort_defect,defect_place,R5 放置到缺陷品传送带,R5,R5_DEFECT_PLACE_TCP,162.25,165.0,2.75,12
B001,T0024,sort_good,good_pick,R5 从检测平台抓取合格品,R5,R5_PRODUCT_PICK_TCP,165.0,167.25,2.25,12
B001,T0024,sort_good,good_place,R5 放置到合格品传送带,R5,R5_GOOD_PLACE_TCP,167.25,170.0,2.75,12
